Source,CH1
Second,Volt
-0.00401120028,-0.36000,
-0.00401080027,-0.36000,
-0.00401040027,-0.36000,
-0.00401000027,-0.34000,
-0.00400960026,-0.34000,
-0.00400920026,-0.32000,
-0.00400880026,-0.34000,
-0.00400840025,-0.28000,
-0.00400800025,-0.28000,
-0.00400760025,-0.32000,
-0.00400720024,-0.28000,
-0.00400680024,-0.26000,
-0.00400640024,-0.28000,
-0.00400600024,-0.28000,
-0.00400560023,-0.26000,
-0.00400520023,-0.26000,
-0.00400480023,-0.22000,
-0.00400440022,-0.24000,
-0.00400400022,-0.20000,
-0.00400360022,-0.22000,
-0.00400320021,-0.22000,
-0.00400280021,-0.20000,
-0.00400240021,-0.18000,
-0.00400200021,-0.20000,
-0.00400160020,-0.16000,
-0.00400120020,-0.16000,
-0.00400080020,-0.16000,
-0.00400040019,-0.12000,
-0.00400000019,-0.12000,
-0.00399960019,-0.12000,
-0.00399920018,-0.12000,
-0.00399880018,-0.12000,
-0.00399840018,-0.10000,
-0.00399800017,-0.08000,
-0.00399760017,-0.08000,
-0.00399720017,-0.08000,
-0.00399680017,-0.06000,
-0.00399640016,-0.06000,
-0.00399600016,-0.04000,
-0.00399560016,-0.06000,
-0.00399520015,-0.06000,
-0.00399480015,-0.04000,
-0.00399440015,0.00,
-0.00399400014,0.00,
-0.00399360014,0.00,
-0.00399320014,0.02000,
-0.00399280014,0.04000,
-0.00399240013,0.04000,
-0.00399200013,0.04000,
-0.00399160013,0.02000,
-0.00399120012,0.04000,
-0.00399080012,0.08000,
-0.00399040012,0.06000,
-0.00399000011,0.06000,
-0.00398960011,0.06000,
-0.00398920011,0.08000,
-0.00398880010,0.10000,
-0.00398840010,0.12000,
-0.00398800010,0.08000,
-0.00398760010,0.10000,
-0.00398720009,0.14000,
-0.00398680009,0.16000,
-0.00398640009,0.16000,
-0.00398600008,0.16000,
-0.00398560008,0.14000,
-0.00398520008,0.18000,
-0.00398480007,0.18000,
-0.00398440007,0.20000,
-0.00398400007,0.20000,
-0.00398360007,0.20000,
-0.00398320006,0.20000,
-0.00398280006,0.24000,
-0.00398240006,0.20000,
-0.00398200005,0.22000,
-0.00398160005,0.24000,
-0.00398120005,0.26000,
-0.00398080004,0.28000,
-0.00398040004,0.26000,
-0.00398000004,0.28000,
-0.00397960003,0.28000,
-0.00397920003,0.32000,
-0.00397880003,0.30000,
-0.00397840003,0.32000,
-0.00397800002,0.32000,
-0.00397760002,0.30000,
-0.00397720002,0.34000,
-0.00397680001,0.36000,
